"plot","block","Entry","Name","Pedigree"
230,1,249,"FL13110-68","LA06071-SBSB-S10 (UFRGS046048-1/TX02U7605)/BW 08-19)/LA08043SBSBS-4 (LA03046SBS7-B-S1/LA97006GSB-59-2-4)"
231,1,446,"NC20-4526","Horizon578/Gerard227"
232,1,291,"FLLA16180-50","TX1948 / LA06059SBSBSB-46"
233,1,345,"FLLA17152-42","NC12-3447 / LA16016,F1 (BW 08-5 / MN11140)"
234,1,322,"LA17075SBSS-24-1","LA10001SSBS-20 / LA10041SSBS-80"
235,1,253,"FL13123-50","FL06082-N6-Ab1 (TAMO 406/FL99175-H5 (TX93AB693/Plot Spike LA9339))/Bw 13"
236,1,335,"FLLA17069-65","LA09015SBS-U4 / LA99016"
237,1,437,"LAFL13108FSB-22-1-1","LA07065SBSBSB-20 (TAMO 405/UFRGS 028152-1)/BW 533"
238,1,391,"FLLA17158-11","FL0720-R6 / LA10041SSBS-80"
239,1,444,"NC19-3542","NC12-3868/NC11-1651"
240,1,75,"LA07026SBS-FS1-Ab1","LA02029SBSBS48/UFRGS 028153-2"
241,1,48,"LA03046SBS7-B-S1","LA9339/TAMO405"
242,1,271,"FLLA17088-60","LA10044SSBS-1 / LA10001SSBS-20"
243,1,51,"LA04004SBSB-121","UFRGS995080-1/9818IBI-24-B-I1"
244,1,108,"LA08089SBSBS-52-S1","UFRGS 050723-4/FL0115-J2"
245,1,67,"LA06063SBSBSB-13","UFRGS 028152-1/LA02079-S-B-69-S2"
246,1,31,"FL99153FBS-45-1-B-S-B-S1-B-S1","TX95C3147/FL98007 F1(SC 942283/UFRGS 940556)"
247,1,414,"TX20CAS1062","TX15OCS6138/TX07CS1228"
248,1,123,"LA09092SBS-U1","UFRGS087157-3/LA08011,F1(BW1803 / MN04241)"
249,1,254,"FL13123-54","FL06082-N6-Ab1 (TAMO 406/FL99175-H5 (TX93AB693/Plot Spike LA9339))/Bw 13"
250,1,326,"LA17089SBSS-73-1","LA10041SSBS-80 / LA99017"
251,1,291,"FLLA16180-50","TX1948 / LA06059SBSBSB-46"
252,1,355,"TX19CAS0050","LA07007SBS-FS3-Ab1 / FL0772-R2/TX09CS049"
253,1,33,"Florida 500","Florad (Floriland Irradiated/unknown)/unnamed_6485 (unnamed_6484/unnamed_6483)"
254,1,392,"FLLA17158-18","FL0720-R6 / LA10041SSBS-80"
255,1,301,"TX20CAS1021","FLO522/TX07CS2783//TAMO405/LA9339(PS)///LA05011GSBS-30/TX02D079"
256,1,122,"LA09082SBS-U11","UFRGS046103-2/ND 020971"
257,1,16,"FL0720-R6","FL0206FSB-34-S1//FL0016-H1/IL 3555"
258,1,454,"TX18OCS9125","FL0703-R5-AB1//TX09CS1029/LA04004SBSB-7-B-S1"
259,1,256,"FL13123-73","FL06082-N6-Ab1 (TAMO 406/FL99175-H5 (TX93AB693/Plot Spike LA9339))/Bw 13"
260,1,155,"NC14-1554","NC3981-4 / WT1"
261,1,418,"TX20CAS1079","TX14OCS5208/TX09CS031//TX15OCS6137"
262,1,184,"Ozark","Florida 167 (Bond/Fulghum)/6-81-3 (unknown/unknown)"
263,1,284,"FLLA17059-4","LA09015SBS-U4 / NC12-3447"
264,1,369,"SCLA17119SBS-4-2","LA99017 / LA09015SBS-U1"
265,1,140,"NC12-3872","SS76-50 / NC02-8037"
266,1,225,"TX14OCS5069","TX02U7605//FL115-J2"
267,1,227,"TX14OCS5078","TX02U7047//TX02U7682"
268,1,127,"LA10044-4","LA97006GSB-59-2-4-SBS1/FL0522-FLID-B-S-B-S-92-S1"
269,1,397,"FLLA17031-57","HZN 306  / LA16188,F1 (UFRGS 087045-3 / MN11140)"
270,1,204,"TX07CS2765","Horizon 321//TAMO 406"
271,1,207,"TX09CS1112","Horizon 314//TX02U7097(TX92M1505=C5-2 1563CR cpx/Unknown/TX83Ab2923)"
272,1,58,"LA05011GSBSBSB-11","TAMO405/LA99016"
273,1,258,"FL13126-57","BW 837/LA06014SBSBSBSB-34 (LA02079-S-B-69-S2/LA05006,F1(LA9339/TAMO 405))"
274,1,138,"NC12-3753","NC02-7989 / SC961246 // Gerard 224"
