fid,prow,pcol,grow,gcol,5-12-24_count,5-12-24_sum,5-12-24_mean
"865","21","9","1","1",2960,552.594635009766,0.186687376692488
"866","21","9","1","2",2952,706.423889160156,0.239303485487858
"867","21","9","1","3",2958,872.859802246094,0.295084449711323
"868","21","10","1","1",2955,587.580627441406,0.198842851926026
"869","21","10","1","2",2956,584.673675537109,0.197792177109983
"870","21","10","1","3",2957,724.829681396484,0.245123328169254
"871","21","11","1","1",2961,723.822296142578,0.244451974381148
"872","21","11","1","2",2954,740.493621826172,0.250674888905271
"873","21","11","1","3",2956,924.275634765625,0.312677819609481
"874","21","12","1","1",2954,729.893188476562,0.247086387432824
"875","21","12","1","2",2958,611.2001953125,0.206626164743915
"876","21","12","1","3",2955,809.002349853516,0.273774060864134
"877","21","13","1","1",2956,846.857269287109,0.286487574183731
"878","21","13","1","2",2959,980.455627441406,0.331346950808181
"879","21","13","1","3",2951,1167.86001586914,0.395750598396862
"880","21","14","1","1",2959,1082.06811523438,0.365687095381675
"881","21","14","1","2",2954,1007.49176025391,0.341060176118452
"882","21","14","1","3",2959,1069.06524658203,0.361292749774259
"883","22","1","1","1",2956,667.489959716797,0.225808511406224
"884","22","1","1","2",2959,578.596496582031,0.195537849470102
"885","22","1","1","3",2957,399.491394042969,0.13510023471186
"886","22","2","1","1",2959,702.914123535156,0.237551241478593
"887","22","2","1","2",2956,628.195129394531,0.212515267048218
"888","22","2","1","3",2956,440.724700927734,0.149094959718449
"889","22","3","1","1",2953,934.232849121094,0.316367371866269
"890","22","3","1","2",2959,782.520782470703,0.264454471940082
"891","22","3","1","3",2956,658.919342041016,0.222909114357583
"892","22","4","1","1",2959,761.580718994141,0.257377735381595
"893","22","4","1","2",2956,728.396514892578,0.246412894077327
"894","22","4","1","3",2956,634.139465332031,0.214526206133975
"895","22","5","1","1",2956,724.693511962891,0.245160186726282
"896","22","5","1","2",2955,721.736236572266,0.244242381242729
"897","22","5","1","3",2961,623.819732666016,0.210678734436344
"898","22","6","1","1",2952,911.871887207031,0.30889969078829
"899","22","6","1","2",2960,783.403900146484,0.264663479779218
"900","22","6","1","3",2954,801.444122314453,0.27130809827842
"901","22","7","1","1",2955,805.212585449219,0.272491568679939
"902","22","7","1","2",2956,648.349700927734,0.219333457688679
"903","22","7","1","3",2958,593.977447509766,0.20080373479032
"904","22","8","1","1",2953,493.943389892578,0.167268333861354
"905","22","8","1","2",2959,567.089935302734,0.191649183948204
"906","22","8","1","3",2957,565.759796142578,0.191328980771924
"907","22","9","1","1",2959,848.703521728516,0.286821061753469
"908","22","9","1","2",2954,733.727600097656,0.248384427927439
"909","22","9","1","3",2957,708.768402099609,0.23969171528563
"910","22","10","1","1",2951,579.591644287109,0.196405165803832
"911","22","10","1","2",2958,648.259918212891,0.21915480669807
"912","22","10","1","3",2959,584.744812011719,0.197615685032686
"913","22","11","1","1",2954,721.485076904297,0.244240039574914
"914","22","11","1","2",2958,721.675262451172,0.24397405762379
"915","22","11","1","3",2954,658.491119384766,0.222915070881776
"916","22","12","1","1",2956,827.385650634766,0.27990042308348
"917","22","12","1","2",2954,874.49462890625,0.296037450543754
"918","22","12","1","3",2961,626.720306396484,0.211658327050484
"919","22","13","1","1",2955,1161.5305480957,0.393072943518004
"920","22","13","1","2",2958,1160.46334838867,0.392313505202391
"921","22","13","1","3",2955,1061.07598876953,0.359078168788335
"922","22","14","1","1",2959,1054.25985717773,0.356289238654185
"923","22","14","1","2",2953,1021.00045776367,0.34575023967615
"924","22","14","1","3",2958,936.393035888672,0.316562892457293
"925","23","1","1","1",2954,242.105682373047,0.0819585925433469
"926","23","1","1","2",2959,524.700531005859,0.177323599528847
"927","23","1","1","3",2954,499.742431640625,0.169174824522893
"928","23","2","1","1",2958,157.380828857422,0.0532051483628877
"929","23","2","1","2",2957,447.206146240234,0.151236437686924
"930","23","2","1","3",2952,450.580261230469,0.15263558984772
"931","23","3","1","1",2957,98.1245727539062,0.0331838257537728
"932","23","3","1","2",2954,104.775177001953,0.0354689157081764
"933","23","3","1","3",2960,159.921600341797,0.0540275676830395
"934","23","4","1","1",2957,513.336090087891,0.173600301010447
"935","23","4","1","2",2960,578.852630615234,0.195558321153795
"936","23","4","1","3",2951,640.746063232422,0.217128452467781
"937","23","5","1","1",2957,345.648620605469,0.116891653907835
"938","23","5","1","2",2956,508.528137207031,0.172032522735802
"939","23","5","1","3",2956,478.37646484375,0.161832362937669
"940","23","6","1","1",2955,583.0595703125,0.197312883354484
